epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.11054912954568863,3.845034599304199,0.22265625,3.2451281547546387
1,0.25638246536254883,2.962165355682373,0.3388671875,2.673001527786255
2,0.363800585269928,2.4421024322509766,0.4365234375,2.2679550647735596
3,0.44677263498306274,2.071190595626831,0.4814453125,2.0421981811523438
4,0.5046965479850769,1.7951340675354004,0.5244140625,1.8450231552124023
5,0.5661126971244812,1.555302619934082,0.5556640625,1.7353696823120117
6,0.6160886287689209,1.3656513690948486,0.5830078125,1.58572256565094
7,0.6411368250846863,1.2297847270965576,0.599609375,1.5020627975463867
8,0.673289954662323,1.112074375152588,0.6279296875,1.439056396484375
9,0.6900289058685303,1.0407527685165405,0.640625,1.4210013151168823
10,0.7182080745697021,0.9501824378967285,0.6337890625,1.3668814897537231
11,0.7356695532798767,0.8790941834449768,0.634765625,1.3710238933563232
12,0.7424132823944092,0.8349411487579346,0.65234375,1.3559932708740234
13,0.7773362398147583,0.7365962862968445,0.65625,1.3353317975997925
14,0.7821531891822815,0.7171037197113037,0.6552734375,1.336950659751892
15,0.7937138676643372,0.6648550629615784,0.654296875,1.3398140668869019
16,0.7990125417709351,0.6609041094779968,0.6826171875,1.2741315364837646
17,0.8043111562728882,0.6170412302017212,0.7021484375,1.23533296585083
18,0.8234585523605347,0.5618908405303955,0.685546875,1.305577278137207
19,0.8269508481025696,0.5504299402236938,0.6923828125,1.3149440288543701
